序号,指标,解释,公式,补充复合计算,,,,,,,,,,,,,,,
1,放款合同金额,使用合同本金求和，美元（需要限制放款时间）,/,,,,,,,,,,,,,,,,
2,成交标数,件数（需要限制放款时间）,/,,,,,,,,,,,,,,,,
3,件均,放款合同金额/成交标数（需要限制放款时间）,/,,,,,,,,,,,,,,,,
4,进件数,只计算if_recall=0的进件数（即拒绝转产后，仍只算原订单1次进件数）,/,"sum(case when if_recall=0 then if_app end) if_app,",,,,,,,,,,,,,,,
5,前置通过率,首贷：使用宽表中的授信数if_in_confirm_temp作为分子，复贷使用宽表中的if_external_data_3_passed 作为分子；分母统一为进件数；,if_external_3_passed/if_app ,"sum(case when grant_strategy='OLD' and if_recall=0 then if_external_data_3_passed 
 when grant_strategy='NEW' then if_in_confirm_temp end) if_external_data_3_passed,",,,,,,,,,,,,,,,
6,后置通过率,首贷：使用宽表中的用信数if_confirm_passed_final作为分母，复贷使用宽表中的if_in_external_data_4作为分母；分子统一为if_external_data_4_passed；,pass_cnt/if_in_external_data_4,"sum(case when grant_strategy='OLD' and if_recall=0 then if_in_external_data_4 
 when grant_strategy='NEW' then if_confirm_passed_final end) if_in_external_data_4,",,,,,,,,,,,,,,,
7,t0用信率,t0当天的用信数/授信数,if_confirm_passed_num_t0/in_confirm_cnt,,,,,,,,,,,,,,,,
8,t7用信率,confirm_grantcredit_amount,if_confirm_passed_num_t7/in_confirm_cnt,,,,,,,,,,,,,,,,
9,24h用信率,24h的用信数/授信数,if_confirm_passed_num_24h/in_confirm_cnt,,,,,,,,,,,,,,,,
10,额度使用率（用信口径）,用信使用金额/用信用户的授信金额,confirm_apply_amount/confirm_grantcredit_amount,"SUM(case when if_confirm_passed_final= 1 then apply_amount else NULL end) AS confirm_apply_amount,
SUM(case when if_confirm_passed_final= 1 then apply_grantcredit_amount else NULL end) AS confirm_grantcredit_amount,",,,,,,,,,,,,,,,
10,额度使用率（成交口径）,成交金额/成交用户的授信金额,issue_contract_amount/issue_in_confirm_grantcredit_amount,"sum(contract_amount) AS issue_contract_amount,
SUM(apply_grantcredit_amount*app_exchange_rate_to_dollar) AS issue_in_confirm_grantcredit_amount,",,,,,,,,,,,,,,,
11,授信1_2占比,1-2等级授信数/总授信数,in_confirm_cnt_1_2/in_confirm_cnt,"sum(if_in_confirm_temp) AS in_confirm_cnt, ",,,,,,,,,,,,,,,
12,授信1_4占比,1-4等级授信数/总授信数,in_confirm_cnt_1_4/in_confirm_cnt,"sum(case when new_grade_level IN ('1','2') then if_in_confirm_temp else 0 end) AS in_confirm_cnt_1_2,",,,,,,,,,,,,,,,
13,24h_放款率,24h放款金额/进件数,is_released_within_24h/if_app,,,,,,,,,,,,,,,,
14,放款1_2占比,1-2等级放款数/总放款数（需要限制放款时间）,issue_cnt_1_2/issue_cnt_from_issue,,,,,,,,,,,,,,,,
15,放款1_4占比,1-4等级放款数/总放款数（需要限制放款时间）,issue_cnt_1_4/issue_cnt_from_issue,,,,,,,,,,,,,,,,
16,1T0逾期率%,1t0逾期金额/1t0到期金额,overdue_amount_1_0/should_capital_1_0,,,,,,,,,,,,,,,,
17,1T7逾期率%,1t7逾期金额/1t7到期金额,overdue_amount_1_7/should_capital_1_7,,,,,,,,,,,,,,,,
18,2T7逾期率%,2t7逾期金额/2t7到期金额,overdue_amount_2_7/should_capital_2_7,,,,,,,,,,,,,,,,
19,通过率,前置通过率*后置通过率,前置通过率*后置通过率,,,,,,,,,,,,,,,,
20,期限,使用期限*放款合同金额/放款合同金额（进行加权平均）;loan_cycle_amount=使用期限*放款合同金额（需要限制放款时间）,loan_cycle_amount/issue_contract_amount,,,,,,,,,,,,,,,,
21,目标完成率,实际完成金额/月度目标金额,issue_contract_group/ov_total_amt_usd,,,,,,,,,,,,,,,,
22,目标达成率,实际完成金额/月度目标金额/月总天数*实际已完成月天数,issue_contract_group/(ov_total_amt_usd/month_days*date_month_end_actual),,,,,,,,,,,,,,,,
23,复贷业绩占比,复贷金额/总金额（需要限制放款时间）,issue_contract_amount_usd_old/issue_contract_amount_usd,,,,,,,,,,,,,,,,
24,new目标达成率,同目标达成率,issue_contract_new_group/(fl_total_amt_usd/month_days*date_month_end_actual),,,,,,,,,,,,,,,,
25,old目标达成率,同目标达成率,issue_contract_old_group/(rl_total_amt_usd/month_days*date_month_end_actual),,,,,,,,,,,,,,,,
26,复贷授信1_2占比,复贷授信中评级1-2数量/总授信量,rl_in_confirm_cnt_1_2/in_confirm_cnt,,,,,,,,,,,,,,,,
27,复贷放款1_2占比,复贷放款中评级1-2数量/总授信量,rl_issue_cnt_1_2/issue_cnt_from_issue,,,,,,,,,,,,,,,,
28,复贷授信1_3占比,同上,rl_in_confirm_cnt_1_3/in_confirm_cnt,,,,,,,,,,,,,,,,
29,复贷放款1_3占比,同上,rl_issue_cnt_1_3/issue_cnt_from_issue,,,,,,,,,,,,,,,,
30,授信件均,授信时的给额件均（授信金额/授信数）,in_confirm_grantcredit_amount/in_confirm_cnt,"SUM(case when if_in_confirm_final = 1 then grantcredit_amount else NULL end) AS in_confirm_grantcredit_amount,",,,,,,,,,,,,,,,